Customer_ID,Age,Gender,Item_Purchased,Category,Purchase_Amount_USD,Location,Size,Color,Season,Review_Rating,Subscription_Status,Payment_Method,Shipping_Type,Discount_Applied,Promo_Code_Used,Previous_Purchases,Preferred_Payment_Method,Frequency_of_Purchases,Review_Rating_Categories
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.0999999046325684,Yes,Credit Card,Express,Yes,Yes,14,Venmo,Fortnightly,Bad
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.0999999046325684,Yes,Bank Transfer,Express,Yes,Yes,2,Cash,Fortnightly,Bad
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.0999999046325684,Yes,Cash,Free Shipping,Yes,Yes,23,Credit Card,Weekly,Bad
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,PayPal,Next Day Air,Yes,Yes,49,PayPal,Weekly,Good
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.700000047683716,Yes,Cash,Free Shipping,Yes,Yes,31,PayPal,Annually,Bad
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9000000953674316,Yes,Venmo,Standard,Yes,Yes,14,Venmo,Weekly,Bad
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.200000047683716,Yes,Debit Card,Free Shipping,Yes,Yes,49,Cash,Quarterly,Good
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.200000047683716,Yes,Debit Card,Free Shipping,Yes,Yes,19,Credit Card,Weekly,Good
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.5999999046325684,Yes,Venmo,Express,Yes,Yes,8,Venmo,Annually,Bad
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.800000190734863,Yes,PayPal,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,Very_Good
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.099999904632568,Yes,Credit Card,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,Good
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.900000095367432,Yes,PayPal,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,Very_Good
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,PayPal,Express,Yes,Yes,37,Venmo,Fortnightly,Very_Good
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.699999809265137,Yes,Debit Card,Express,Yes,Yes,31,PayPal,Weekly,Very_Good
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.699999809265137,Yes,PayPal,Free Shipping,Yes,Yes,34,Debit Card,Weekly,Very_Good
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.799999952316284,Yes,Credit Card,Store Pickup,Yes,Yes,8,PayPal,Monthly,Bad
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.099999904632568,Yes,Venmo,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,Good
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.699999809265137,Yes,Debit Card,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,Very_Good
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.599999904632568,Yes,Bank Transfer,Free Shipping,Yes,Yes,17,Cash,Weekly,Very_Good
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.299999952316284,Yes,Venmo,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,Good
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.799999952316284,Yes,Credit Card,Express,Yes,Yes,50,Cash,Every 3 Months,Bad
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.099999904632568,Yes,Credit Card,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,Good
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.200000047683716,Yes,Cash,Store Pickup,Yes,Yes,32,Debit Card,Annually,Good
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.400000095367432,Yes,Credit Card,Express,Yes,Yes,40,Credit Card,Weekly,Good
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9000000953674316,Yes,Cash,Store Pickup,Yes,Yes,16,Debit Card,Weekly,Bad
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.5999999046325684,Yes,Bank Transfer,Express,Yes,Yes,14,PayPal,Annually,Good
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.5999999046325684,Yes,Cash,Next Day Air,Yes,Yes,13,Credit Card,Annually,Good
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Debit Card,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,Very_Good
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.400000095367432,Yes,Debit Card,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,Good
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.099999904632568,Yes,Venmo,Store Pickup,Yes,Yes,14,Credit Card,Weekly,Good
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.699999809265137,Yes,Bank Transfer,Standard,Yes,Yes,16,Credit Card,Monthly,Very_Good
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.699999809265137,Yes,Venmo,Store Pickup,Yes,Yes,45,Venmo,Monthly,Very_Good
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.900000095367432,Yes,Bank Transfer,Free Shipping,Yes,Yes,37,Venmo,Annually,Very_Good
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.299999952316284,Yes,Venmo,Store Pickup,Yes,Yes,45,Cash,Quarterly,Good
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.599999904632568,Yes,Debit Card,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,Very_Good
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,Good
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.599999904632568,Yes,Cash,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,Very_Good
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.799999952316284,Yes,Debit Card,Store Pickup,Yes,Yes,10,PayPal,Weekly,Bad
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.700000047683716,Yes,Debit Card,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,Good
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.199999809265137,Yes,Bank Transfer,Express,Yes,Yes,18,Credit Card,Monthly,Good
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.599999904632568,Yes,PayPal,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,Very_Good
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Cash,Standard,Yes,Yes,40,Venmo,Annually,Very_Good
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.099999904632568,Yes,Bank Transfer,Free Shipping,Yes,Yes,15,PayPal,Annually,Good
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.700000047683716,Yes,PayPal,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,Good
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.599999904632568,Yes,Bank Transfer,Free Shipping,Yes,Yes,45,PayPal,Weekly,Very_Good
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9000000953674316,Yes,Venmo,2-Day Shipping,Yes,Yes,25,PayPal,Annually,Bad
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9000000953674316,Yes,Venmo,Store Pickup,Yes,Yes,45,Cash,Quarterly,Bad
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Debit Card,Free Shipping,Yes,Yes,36,Cash,Weekly,Very_Good
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.700000047683716,Yes,Debit Card,Store Pickup,Yes,Yes,38,Cash,Monthly,Bad
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.599999904632568,Yes,Bank Transfer,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,Very_Good
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.700000047683716,Yes,Cash,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,Good
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.699999809265137,Yes,PayPal,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,Very_Good
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.5999999046325684,Yes,Credit Card,Free Shipping,Yes,Yes,26,Credit Card,Weekly,Bad
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9000000953674316,Yes,Debit Card,Next Day Air,Yes,Yes,35,Credit Card,Weekly,Good
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.199999809265137,Yes,Bank Transfer,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,Good
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,Venmo,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,Bad
